[ Train mnistm2svhn | 001/100 ] err:0.34453
[ Train mnistm2svhn | 001/100 ] err:0.34453
[ Train mnistm2svhn | 001/100 ] err:0.34453
[ Train mnistm2svhn | 002/100 ] err:0.33888
[ Train mnistm2svhn | 003/100 ] err:0.24819
[ Train mnistm2svhn | 004/100 ] err:0.25641
[ Train mnistm2svhn | 005/100 ] err:0.20564
[ Train mnistm2svhn | 006/100 ] err:0.09370
[ Train mnistm2svhn | 007/100 ] err:0.11223
[ Train mnistm2svhn | 008/100 ] err:0.19651
[ Train mnistm2svhn | 009/100 ] err:0.19700
[ Train mnistm2svhn | 010/100 ] err:0.11521
[ Train mnistm2svhn | 011/100 ] err:0.09178
[ Train mnistm2svhn | 012/100 ] err:0.11195
[ Train mnistm2svhn | 013/100 ] err:0.11204
[ Train mnistm2svhn | 014/100 ] err:0.07394
[ Train mnistm2svhn | 015/100 ] err:0.11900
[ Train mnistm2svhn | 016/100 ] err:0.10804
[ Train mnistm2svhn | 017/100 ] err:0.10869
[ Train mnistm2svhn | 018/100 ] err:0.14288
[ Train mnistm2svhn | 019/100 ] err:0.14217
[ Train mnistm2svhn | 020/100 ] err:0.07103
[ Train mnistm2svhn | 021/100 ] err:0.15361
[ Train mnistm2svhn | 022/100 ] err:0.16859
[ Train mnistm2svhn | 023/100 ] err:0.07025
[ Train mnistm2svhn | 024/100 ] err:0.14267
[ Train mnistm2svhn | 025/100 ] err:0.07269
[ Train mnistm2svhn | 026/100 ] err:0.10141
[ Train mnistm2svhn | 027/100 ] err:0.08039
[ Train mnistm2svhn | 028/100 ] err:0.09850
[ Train mnistm2svhn | 029/100 ] err:0.04702
[ Train mnistm2svhn | 030/100 ] err:0.09914
[ Train mnistm2svhn | 031/100 ] err:0.11540
[ Train mnistm2svhn | 032/100 ] err:0.07088
[ Train mnistm2svhn | 033/100 ] err:0.06853
[ Train mnistm2svhn | 034/100 ] err:0.10505
[ Train mnistm2svhn | 035/100 ] err:0.13370
[ Train mnistm2svhn | 036/100 ] err:0.07367
[ Train mnistm2svhn | 037/100 ] err:0.10353
[ Train mnistm2svhn | 038/100 ] err:0.09510
[ Train mnistm2svhn | 039/100 ] err:0.04961
[ Train mnistm2svhn | 040/100 ] err:0.11716
[ Train mnistm2svhn | 041/100 ] err:0.05160
[ Train mnistm2svhn | 042/100 ] err:0.06413
[ Train mnistm2svhn | 043/100 ] err:0.07947
[ Train mnistm2svhn | 044/100 ] err:0.11022
[ Train mnistm2svhn | 045/100 ] err:0.08797
[ Train mnistm2svhn | 046/100 ] err:0.03308
[ Train mnistm2svhn | 047/100 ] err:0.06637
[ Train mnistm2svhn | 048/100 ] err:0.09556
[ Train mnistm2svhn | 049/100 ] err:0.02852
[ Train mnistm2svhn | 050/100 ] err:0.10090
[ Train mnistm2svhn | 051/100 ] err:0.06696
[ Train mnistm2svhn | 052/100 ] err:0.03153
[ Train mnistm2svhn | 053/100 ] err:0.03210
[ Train mnistm2svhn | 054/100 ] err:0.04125
[ Train mnistm2svhn | 055/100 ] err:0.06557
[ Train mnistm2svhn | 056/100 ] err:0.03941
[ Train mnistm2svhn | 057/100 ] err:0.05227
[ Train mnistm2svhn | 058/100 ] err:0.09071
[ Train mnistm2svhn | 059/100 ] err:0.03134
[ Train mnistm2svhn | 060/100 ] err:0.05580
[ Train mnistm2svhn | 061/100 ] err:0.06418
[ Train mnistm2svhn | 062/100 ] err:0.03410
[ Train mnistm2svhn | 063/100 ] err:0.05412
[ Train mnistm2svhn | 064/100 ] err:0.02757
[ Train mnistm2svhn | 065/100 ] err:0.02742
[ Train mnistm2svhn | 066/100 ] err:0.03779
[ Train mnistm2svhn | 067/100 ] err:0.03925
[ Train mnistm2svhn | 068/100 ] err:0.07898
[ Train mnistm2svhn | 069/100 ] err:0.08078
[ Train mnistm2svhn | 070/100 ] err:0.02629
[ Train mnistm2svhn | 071/100 ] err:0.03396
[ Train mnistm2svhn | 072/100 ] err:0.06251
[ Train mnistm2svhn | 073/100 ] err:0.04307
[ Train mnistm2svhn | 074/100 ] err:0.05656
[ Train mnistm2svhn | 075/100 ] err:0.03838
[ Train mnistm2svhn | 076/100 ] err:0.06444
[ Train mnistm2svhn | 077/100 ] err:0.05443
[ Train mnistm2svhn | 078/100 ] err:0.02708
[ Train mnistm2svhn | 079/100 ] err:0.05502
[ Train mnistm2svhn | 080/100 ] err:0.02331
[ Train mnistm2svhn | 081/100 ] err:0.03858
[ Train mnistm2svhn | 082/100 ] err:0.02150
[ Train mnistm2svhn | 083/100 ] err:0.05609
[ Train mnistm2svhn | 084/100 ] err:0.08316
[ Train mnistm2svhn | 085/100 ] err:0.04059
[ Train mnistm2svhn | 086/100 ] err:0.04919
[ Train mnistm2svhn | 087/100 ] err:0.04741
[ Train mnistm2svhn | 088/100 ] err:0.03001
[ Train mnistm2svhn | 089/100 ] err:0.06714
[ Train mnistm2svhn | 090/100 ] err:0.05242
[ Train mnistm2svhn | 091/100 ] err:0.07187
[ Train mnistm2svhn | 092/100 ] err:0.07181
[ Train mnistm2svhn | 093/100 ] err:0.04724
[ Train mnistm2svhn | 094/100 ] err:0.02366
[ Train mnistm2svhn | 095/100 ] err:0.02227
[ Train mnistm2svhn | 096/100 ] err:0.03288
[ Train mnistm2svhn | 097/100 ] err:0.10060
[ Train mnistm2svhn | 098/100 ] err:0.05839
[ Train mnistm2svhn | 099/100 ] err:0.04450
[ Train mnistm2svhn | 100/100 ] err:0.00872
