[ Train | 001/200 ] loss = 6.7725, best_acc = 0.009
[ Valid | 001/200 ] loss = 6.3396, acc = 0.04424, best_acc = 0.000
[ Train | 002/200 ] loss = 5.8594, best_acc = 0.042
[ Valid | 002/200 ] loss = 5.4559, acc = 0.04444, best_acc = 0.044
[ Train | 003/200 ] loss = 5.1408, best_acc = 0.055
[ Valid | 003/200 ] loss = 4.9371, acc = 0.06859, best_acc = 0.044
[ Train | 004/200 ] loss = 4.7143, best_acc = 0.079
[ Valid | 004/200 ] loss = 4.6896, acc = 0.06899, best_acc = 0.069
[ Train | 005/200 ] loss = 4.4789, best_acc = 0.109
[ Valid | 005/200 ] loss = 4.4868, acc = 0.11567, best_acc = 0.069
[ Train | 006/200 ] loss = 4.3179, best_acc = 0.154
[ Valid | 006/200 ] loss = 4.3429, acc = 0.14671, best_acc = 0.116
[ Train | 007/200 ] loss = 4.1844, best_acc = 0.178
[ Valid | 007/200 ] loss = 4.2584, acc = 0.17512, best_acc = 0.147
[ Train | 008/200 ] loss = 4.0611, best_acc = 0.214
[ Valid | 008/200 ] loss = 4.2038, acc = 0.21144, best_acc = 0.175
[ Train | 009/200 ] loss = 3.9352, best_acc = 0.243
[ Valid | 009/200 ] loss = 4.0796, acc = 0.22017, best_acc = 0.211
[ Train | 010/200 ] loss = 3.8334, best_acc = 0.262
[ Valid | 010/200 ] loss = 3.9964, acc = 0.22443, best_acc = 0.220
[ Train | 011/200 ] loss = 3.7170, best_acc = 0.286
[ Valid | 011/200 ] loss = 3.8711, acc = 0.23498, best_acc = 0.224
[ Train | 012/200 ] loss = 3.6376, best_acc = 0.298
[ Valid | 012/200 ] loss = 3.9220, acc = 0.21855, best_acc = 0.235
[ Train | 013/200 ] loss = 3.5400, best_acc = 0.317
[ Valid | 013/200 ] loss = 3.8212, acc = 0.22930, best_acc = 0.235
[ Train | 014/200 ] loss = 3.4845, best_acc = 0.325
[ Valid | 014/200 ] loss = 3.7587, acc = 0.25568, best_acc = 0.235
[ Train | 015/200 ] loss = 3.4277, best_acc = 0.339
[ Valid | 015/200 ] loss = 3.8736, acc = 0.25325, best_acc = 0.256
[ Train | 016/200 ] loss = 3.3740, best_acc = 0.347
