[ Pretrain | 001/500 ] loss = 4.0131
[ Pretrain | 002/500 ] loss = 3.7730
[ Pretrain | 003/500 ] loss = 3.5469
[ Pretrain | 004/500 ] loss = 3.3475
[ Pretrain | 005/500 ] loss = 3.1271
[ Pretrain | 006/500 ] loss = 3.0876
[ Pretrain | 007/500 ] loss = 3.0923
[ Pretrain | 008/500 ] loss = 3.0013
[ Pretrain | 009/500 ] loss = 2.8241
[ Pretrain | 010/500 ] loss = 2.4081
[ Pretrain | 011/500 ] loss = 2.6604
[ Pretrain | 012/500 ] loss = 2.3255
[ Pretrain | 013/500 ] loss = 2.1670
[ Pretrain | 014/500 ] loss = 2.2158
[ Pretrain | 015/500 ] loss = 2.3461
[ Pretrain | 016/500 ] loss = 2.0779
[ Pretrain | 017/500 ] loss = 2.2771
[ Pretrain | 018/500 ] loss = 2.1008
[ Pretrain | 019/500 ] loss = 2.0139
[ Pretrain | 020/500 ] loss = 2.0984
[ Pretrain | 021/500 ] loss = 1.9248
[ Pretrain | 022/500 ] loss = 1.9499
[ Pretrain | 023/500 ] loss = 1.8572
[ Pretrain | 024/500 ] loss = 2.0314
[ Pretrain | 025/500 ] loss = 1.8641
[ Pretrain | 026/500 ] loss = 1.7698
[ Pretrain | 027/500 ] loss = 1.7466
[ Pretrain | 028/500 ] loss = 2.0251
[ Pretrain | 029/500 ] loss = 1.9663
[ Pretrain | 030/500 ] loss = 1.8049
[ Pretrain | 031/500 ] loss = 1.8809
[ Pretrain | 032/500 ] loss = 2.1455
[ Pretrain | 033/500 ] loss = 1.7564
[ Pretrain | 034/500 ] loss = 1.7527
[ Pretrain | 035/500 ] loss = 1.7397
[ Pretrain | 036/500 ] loss = 2.0265
[ Pretrain | 037/500 ] loss = 1.7028
[ Pretrain | 038/500 ] loss = 1.8365
[ Pretrain | 039/500 ] loss = 1.8361
[ Pretrain | 040/500 ] loss = 2.0099
[ Pretrain | 041/500 ] loss = 2.0183
[ Pretrain | 042/500 ] loss = 1.9263
[ Pretrain | 043/500 ] loss = 1.8521
[ Pretrain | 044/500 ] loss = 1.8880
[ Pretrain | 045/500 ] loss = 2.3132
[ Pretrain | 046/500 ] loss = 1.9057
[ Pretrain | 047/500 ] loss = 1.6932
[ Pretrain | 048/500 ] loss = 2.2196
[ Pretrain | 049/500 ] loss = 1.9894
[ Pretrain | 050/500 ] loss = 2.1665
[ Pretrain | 051/500 ] loss = 1.7896
[ Pretrain | 052/500 ] loss = 2.2880
[ Pretrain | 053/500 ] loss = 1.9803
[ Pretrain | 054/500 ] loss = 1.6747
[ Pretrain | 055/500 ] loss = 1.9825
[ Pretrain | 056/500 ] loss = 2.0210
[ Pretrain | 057/500 ] loss = 2.0436
[ Pretrain | 058/500 ] loss = 2.2525
[ Pretrain | 059/500 ] loss = 1.8722
[ Pretrain | 060/500 ] loss = 1.9483
[ Pretrain | 061/500 ] loss = 1.8589
[ Pretrain | 062/500 ] loss = 2.3858
[ Pretrain | 063/500 ] loss = 2.0985
[ Pretrain | 064/500 ] loss = 2.0731
[ Pretrain | 065/500 ] loss = 2.1527
[ Pretrain | 066/500 ] loss = 2.0813
[ Pretrain | 067/500 ] loss = 2.0396
[ Pretrain | 068/500 ] loss = 2.1137
[ Pretrain | 069/500 ] loss = 1.9802
[ Pretrain | 070/500 ] loss = 1.8183
[ Pretrain | 071/500 ] loss = 2.0637
[ Pretrain | 072/500 ] loss = 1.8720
[ Pretrain | 073/500 ] loss = 2.0026
[ Pretrain | 074/500 ] loss = 2.4484
[ Pretrain | 075/500 ] loss = 1.8218
[ Pretrain | 076/500 ] loss = 2.1224
[ Pretrain | 077/500 ] loss = 1.6583
[ Pretrain | 078/500 ] loss = 2.7865
[ Pretrain | 079/500 ] loss = 1.8509
[ Pretrain | 080/500 ] loss = 2.1700
[ Pretrain | 081/500 ] loss = 1.8620
[ Pretrain | 082/500 ] loss = 2.1525
[ Pretrain | 083/500 ] loss = 1.9240
[ Pretrain | 084/500 ] loss = 2.6743
[ Pretrain | 085/500 ] loss = 2.3413
